name,children,deity?,img,link,parents,relationship,relationship notes,relationship quality,specific relation
aeneas,,mortal,thumbnail_banner(86).png,https://en.wikipedia.org/wiki/Aeneas,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),son,"trojan hero, son of https://en.wikipedia.org/wiki/Anchises",positive,son
helen,,mortal,thumbnail_banner(66).png,https://www.centreofexcellence.com/who-was-helen-of-troy/#1,,friend,Lady Aphrodite favors & supports helen,positive,friend; helen of sparta
paris,,mortal,thumbnail_banner(67).png,https://www.greekmythology.com/Myths/Mortals/Paris/paris.html,,friend,Lady Aphrodite is both protective & supportive of him,positive,friend; troy of sparta
hippomenes,,mortal,thumbnail_banner(87).png,https://www.theoi.com/Olympios/AphroditeWrath.html#Hippomenes,,bad relationship,Lady Aphrodite helped him win his love but punished him for being accidentally ungrateful.,complicated,ex-friend
the kharites,,goddess,thumbnail_banner(68).png,https://www.theoi.com/Ouranios/Kharites.html#Aphrodite,,friend,very good relationship; they work together often to spread beauty/charm/love,positive,great friends/they work together
the sea nymphs,,goddess,thumbnail_banner(69).png,https://greek.mythologyworldwide.com/the-myths-of-aphrodite-and-the-nymphs-love-and-companionship/#IV_Key_Myths_Involving_Aphrodite_and_Nymphs,,friend,a casually warm & friendly relationship & mutual love for the ocean,positive,great friends
helios,,god,thumbnail_banner(90).png,https://www.theoi.com/Titan/Helios.html#Aphrodite,,rival,"he exposed Her affair with ares, causing her to resent him",negative,resentful toward him
athena,,goddess,thumbnail_banner(91).png,https://enviroliteracy.org/animals/why-does-aphrodite-hate-athena/#post-86312,,rival,"athena values wisdom, physical prowess, and combat skill, whereas Lady Aphrodite doesn’t (in the same ways)",negative,highly differing values
hestia,,goddess,thumbnail_banner(58).png,https://www.theoi.com/Ouranios/Hestia.html#Parentage,,rival,"hestia values purity and is vehemently chaste, making them almost perfectly opposed",tense,highly differing values
adonis,"beroe (beroe%202269ed6c1f7c80ca8f1fc0e1e7f04d1f.md), golgos (golgos%202269ed6c1f7c8099904dda8961aa3ae3.md)",mortal,thumbnail_banner(57).png,https://en.wikipedia.org/wiki/Adonis,,lover,"her most famous mortal lover. their tragic myth involves a rivalry with persephone and his death by a wild boar, which led to the creation of the anemone flower",positive,mortal lover
